feature,mean_absolute_raw_score_contribution
amount0_weekend_fraction__max,0.006768986832600715
amount0_last_fee__mean,0.006676112834865794
broad0_gap_mad__mean,0.006675472433991403
broad0_gap_std__mean,0.0065078465514919635
amount1_amount_mean__min,0.00635993269560223
broad0_gap_median__max,0.006350968770049793
broad0_own_semantic_per_event__max,0.006314036036614108
amount1_description_top_fraction__min,0.006183639074040072
broad0_last_fee__max,0.006128511773619063
broad0_amount_change__min,0.006091555705149758
broad0_count_30__mean,0.0059827462975222566
amount0_own_semantic__max,0.005878709479374083
broad0_amount_cv__mean,0.005835041495432084
amount1_last_age__mean,0.005824658377099061
broad0_fee_fraction__mean,0.005766262709531341
amount0_count_180__max,0.005764914893385762
amount0_amount_cv_global_maximum__min,0.00567290039783175
amount0_other_semantic__max,0.00565666077256146
broad0_count__max,0.00562893788864852
broad0_amount_mean__mean,0.005609398780001486
broad0_count__mean,0.00540684795210132
client_type_refund__max,0.005375318422379105
amount1_count_180__mean,0.00531697342867151
broad0_weekend_fraction__min,0.005303431126511794
broad0_linear_next__max,0.005293609078341652
amount0_count_180__min,0.005180764840031717
broad0_refund_count__mean,0.005111421726510501
amount0_last_age_global_maximum__min,0.0050430107359509665
broad0_own_semantic__min,0.004983135829463322
amount0_refund_count__mean,0.004936361411921857
broad0_amount_change__mean,0.004872618234838738
amount1_next_recent__min,0.004848266718474154
amount0_gap_std__mean,0.004793159260339473
broad0_linear_period__min,0.004676268471598919
broad0_count_90__mean,0.004662162069903827
broad0_gap_mad__max,0.004658856958312313
broad0_own_template_count__min,0.004653227595039572
broad0_count_30__max,0.004607842477862102
client_currency_gbp__max,0.004397227781847028
amount0_amount_cv_global_mean__min,0.004368150465900623
client_currency_eur__max,0.00434881312637933
broad0_own_semantic__max,0.004277558446130678
amount0_other_semantic__mean,0.004259681210641633
amount1_amount_mad__min,0.00425549301084621
amount1_generic_fraction__mean,0.004153694112761966
client_direction_in__max,0.0041535576061157665
amount0_period_rounded__mean,0.004127165499165896
amount0_next_active_global_mean__min,0.004102145526111198
client_type_card_payment__max,0.004072245799885705
amount0_count_30__mean,0.004071070734547448
amount0_own_semantic_per_event__mean,0.004059483788128731
client_amount_mean__max,0.004037834505371561
amount1_amount_cv__max,0.004004488730826696
broad0_gap_recent__mean,0.003994892596687685
client_first_age__max,0.003937641311520143
